"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.469,0.751,10,-5.063,1,0.0311,0.397,0.0129,0.329,0.723,163.898,audio_features,0qDMPVjF8ynnCzZniGTEwa,spotify:track:0qDMPVjF8ynnCzZniGTEwa,https://api.spotify.com/v1/tracks/0qDMPVjF8ynnCzZniGTEwa,https://api.spotify.com/v1/audio-analysis/0qDMPVjF8ynnCzZniGTEwa,286288,4,yuni-ayunda,Kembang Mawar (feat. Via Mellow)
0.556,0.818,2,-5.458,0,0.0368,0.0432,0.000242,0.167,0.819,93.254,audio_features,5SUdwYktmr2U1FtHZ0AVdp,spotify:track:5SUdwYktmr2U1FtHZ0AVdp,https://api.spotify.com/v1/tracks/5SUdwYktmr2U1FtHZ0AVdp,https://api.spotify.com/v1/audio-analysis/5SUdwYktmr2U1FtHZ0AVdp,279850,4,yuni-ayunda,Tomcat (feat. Yuni Ayunda)
0.433,0.622,9,-7.483,0,0.0369,0.436,0.00131,0.0826,0.862,158.32,audio_features,5cOyCpvBh9yJrnbaxf3k2k,spotify:track:5cOyCpvBh9yJrnbaxf3k2k,https://api.spotify.com/v1/tracks/5cOyCpvBh9yJrnbaxf3k2k,https://api.spotify.com/v1/audio-analysis/5cOyCpvBh9yJrnbaxf3k2k,453878,4,yuni-ayunda,Menthol Gedhi (feat. Iis Khalila & Kang Subur)
0.404,0.728,4,-5.374,0,0.0339,0.0482,0.000708,0.657,0.799,112.086,audio_features,33wFzjt4kCsXH4y9sLtjFP,spotify:track:33wFzjt4kCsXH4y9sLtjFP,https://api.spotify.com/v1/tracks/33wFzjt4kCsXH4y9sLtjFP,https://api.spotify.com/v1/audio-analysis/33wFzjt4kCsXH4y9sLtjFP,239438,4,yuni-ayunda,Sawo Mentah (feat. Iis Khalila)
0.538,0.888,11,-6.735,0,0.0373,0.333,0.00000924,0.287,0.828,143.903,audio_features,3XZr6PoagWXMumSeTDVDJm,spotify:track:3XZr6PoagWXMumSeTDVDJm,https://api.spotify.com/v1/tracks/3XZr6PoagWXMumSeTDVDJm,https://api.spotify.com/v1/audio-analysis/3XZr6PoagWXMumSeTDVDJm,236468,4,yuni-ayunda,Sik Asik
0.341,0.672,5,-7.03,1,0.0331,0.228,0,0.434,0.528,146.826,audio_features,46JNtcwHIBIrDuHBh2eCuM,spotify:track:46JNtcwHIBIrDuHBh2eCuM,https://api.spotify.com/v1/tracks/46JNtcwHIBIrDuHBh2eCuM,https://api.spotify.com/v1/audio-analysis/46JNtcwHIBIrDuHBh2eCuM,345386,4,yuni-ayunda,Kabut Biru
0.315,0.91,2,-6.585,1,0.049,0.134,0.00363,0.193,0.744,168.916,audio_features,6hr73pmj5cy0KNAcQgtCGE,spotify:track:6hr73pmj5cy0KNAcQgtCGE,https://api.spotify.com/v1/tracks/6hr73pmj5cy0KNAcQgtCGE,https://api.spotify.com/v1/audio-analysis/6hr73pmj5cy0KNAcQgtCGE,281343,4,yuni-ayunda,Maafkanlah
0.463,0.739,2,-6.126,1,0.0475,0.473,0.00000247,0.248,0.863,148.644,audio_features,2tOw8N9W9IxdAh6JzbAhil,spotify:track:2tOw8N9W9IxdAh6JzbAhil,https://api.spotify.com/v1/tracks/2tOw8N9W9IxdAh6JzbAhil,https://api.spotify.com/v1/audio-analysis/2tOw8N9W9IxdAh6JzbAhil,205949,4,yuni-ayunda,O.M.G
0.522,0.734,2,-5.998,0,0.0356,0.459,0,0.673,0.721,140.452,audio_features,5skBtoHVUDgsRbPruzBiQL,spotify:track:5skBtoHVUDgsRbPruzBiQL,https://api.spotify.com/v1/tracks/5skBtoHVUDgsRbPruzBiQL,https://api.spotify.com/v1/audio-analysis/5skBtoHVUDgsRbPruzBiQL,577766,4,yuni-ayunda,Kanggo Riko
0.539,0.632,0,-7.242,1,0.0581,0.233,0,0.397,0.551,89.254,audio_features,3f9fcMz2UcirDXCOL4Axtt,spotify:track:3f9fcMz2UcirDXCOL4Axtt,https://api.spotify.com/v1/tracks/3f9fcMz2UcirDXCOL4Axtt,https://api.spotify.com/v1/audio-analysis/3f9fcMz2UcirDXCOL4Axtt,380302,4,yuni-ayunda,Bongkar
