"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.709,0.957,0,0.945,1,0.225,0.222,0.00757,0.321,0.714,119.981,audio_features,28esHufje0eGMUy9XYMKEj,spotify:track:28esHufje0eGMUy9XYMKEj,https://api.spotify.com/v1/tracks/28esHufje0eGMUy9XYMKEj,https://api.spotify.com/v1/audio-analysis/28esHufje0eGMUy9XYMKEj,623621,4,ustad-sodiq,Patrol Banyuwangi
0.725,0.882,1,-0.122,0,0.0392,0.0977,0.0244,0.219,0.791,119.999,audio_features,7uPtOBBytAamsEs5cbWeXl,spotify:track:7uPtOBBytAamsEs5cbWeXl,https://api.spotify.com/v1/tracks/7uPtOBBytAamsEs5cbWeXl,https://api.spotify.com/v1/audio-analysis/7uPtOBBytAamsEs5cbWeXl,514064,4,ustad-sodiq,Patrol Jember
0.681,0.872,9,-0.886,0,0.0304,0.273,0,0.0936,0.881,150.064,audio_features,5ph8b8RxdYZeDiyqxFmS8Z,spotify:track:5ph8b8RxdYZeDiyqxFmS8Z,https://api.spotify.com/v1/tracks/5ph8b8RxdYZeDiyqxFmS8Z,https://api.spotify.com/v1/audio-analysis/5ph8b8RxdYZeDiyqxFmS8Z,857234,4,ustad-sodiq,Takbir Versi Tabla
