"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.354,0.786,8,-8.983,1,0.0421,0.268,0.000378,0.387,0.742,165.796,audio_features,2YiKmmz6iNn9N5ukdut0MF,spotify:track:2YiKmmz6iNn9N5ukdut0MF,https://api.spotify.com/v1/tracks/2YiKmmz6iNn9N5ukdut0MF,https://api.spotify.com/v1/audio-analysis/2YiKmmz6iNn9N5ukdut0MF,343120,4,ratna-antika-monata,Sumelang - Live
0.508,0.631,1,-10.145,1,0.0327,0.0211,0.00841,0.252,0.707,152.066,audio_features,0m3arPUToADq5DiWgvQpc3,spotify:track:0m3arPUToADq5DiWgvQpc3,https://api.spotify.com/v1/tracks/0m3arPUToADq5DiWgvQpc3,https://api.spotify.com/v1/audio-analysis/0m3arPUToADq5DiWgvQpc3,308187,4,ratna-antika-monata,Secangkir Kopi - Live
0.478,0.619,7,-10.45,0,0.0353,0.0635,0.000309,0.111,0.878,93.188,audio_features,2zeN1lilEzX4Di2gsNFPGi,spotify:track:2zeN1lilEzX4Di2gsNFPGi,https://api.spotify.com/v1/tracks/2zeN1lilEzX4Di2gsNFPGi,https://api.spotify.com/v1/audio-analysis/2zeN1lilEzX4Di2gsNFPGi,331602,4,ratna-antika-monata,Bukan Milikmu - Live
0.581,0.891,5,-9.389,0,0.0607,0.115,0.173,0.326,0.789,158.981,audio_features,5uuB4RrkKToZD0xnyugv4G,spotify:track:5uuB4RrkKToZD0xnyugv4G,https://api.spotify.com/v1/tracks/5uuB4RrkKToZD0xnyugv4G,https://api.spotify.com/v1/audio-analysis/5uuB4RrkKToZD0xnyugv4G,240333,4,ratna-antika-monata,Belah Duren
0.295,0.645,10,-7.501,1,0.0403,0.468,0.0234,0.133,0.41,150.964,audio_features,5YtImmOSFqaqTY88Jwi9P0,spotify:track:5YtImmOSFqaqTY88Jwi9P0,https://api.spotify.com/v1/tracks/5YtImmOSFqaqTY88Jwi9P0,https://api.spotify.com/v1/audio-analysis/5YtImmOSFqaqTY88Jwi9P0,252493,4,ratna-antika-monata,Matahariku
0.417,0.66,5,-11.499,0,0.0365,0.00496,0.00145,0.123,0.686,89.728,audio_features,7CCBWTJCc0lyzwPD500Acq,spotify:track:7CCBWTJCc0lyzwPD500Acq,https://api.spotify.com/v1/tracks/7CCBWTJCc0lyzwPD500Acq,https://api.spotify.com/v1/audio-analysis/7CCBWTJCc0lyzwPD500Acq,360209,4,ratna-antika-monata,Bunga Edelweis
0.451,0.566,5,-8.355,1,0.0478,0.558,0,0.371,0.726,176.138,audio_features,6Ffhqf2A57md5JF1Xc9Wnr,spotify:track:6Ffhqf2A57md5JF1Xc9Wnr,https://api.spotify.com/v1/tracks/6Ffhqf2A57md5JF1Xc9Wnr,https://api.spotify.com/v1/audio-analysis/6Ffhqf2A57md5JF1Xc9Wnr,244693,4,ratna-antika-monata,Andeca Andeci
0.584,0.8,6,-8.91,0,0.0367,0.101,0.00000138,0.0978,0.528,92.481,audio_features,70TLgRZOset76D6VcGePrv,spotify:track:70TLgRZOset76D6VcGePrv,https://api.spotify.com/v1/tracks/70TLgRZOset76D6VcGePrv,https://api.spotify.com/v1/audio-analysis/70TLgRZOset76D6VcGePrv,258333,4,ratna-antika-monata,Sorry Boy
0.394,0.581,4,-11.454,0,0.0333,0.574,0.0151,0.164,0.468,101.886,audio_features,7gxm5KXABQrt6P8iBvMJKp,spotify:track:7gxm5KXABQrt6P8iBvMJKp,https://api.spotify.com/v1/tracks/7gxm5KXABQrt6P8iBvMJKp,https://api.spotify.com/v1/audio-analysis/7gxm5KXABQrt6P8iBvMJKp,266333,4,ratna-antika-monata,Ada Rindu
0.402,0.707,7,-9.917,0,0.0609,0.182,0,0.12,0.693,142.8,audio_features,0G6HonhSd3Ups3ifNMz0XF,spotify:track:0G6HonhSd3Ups3ifNMz0XF,https://api.spotify.com/v1/tracks/0G6HonhSd3Ups3ifNMz0XF,https://api.spotify.com/v1/audio-analysis/0G6HonhSd3Ups3ifNMz0XF,286200,4,ratna-antika-monata,Ajur
