"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","artist","track_name"
0.746,0.919,7,-4.945,1,0.0423,0.0144,0.115,0.309,0.804,120.008,audio_features,7yFziOCY3PeXekz3Nls6yU,spotify:track:7yFziOCY3PeXekz3Nls6yU,https://api.spotify.com/v1/tracks/7yFziOCY3PeXekz3Nls6yU,https://api.spotify.com/v1/audio-analysis/7yFziOCY3PeXekz3Nls6yU,282099,4,mona-ochan,Anak Sholeh
0.66,0.958,4,-3.906,1,0.03,0.0364,0.295,0.141,0.933,112.994,audio_features,20PNptwahrfnQkOLckB5ov,spotify:track:20PNptwahrfnQkOLckB5ov,https://api.spotify.com/v1/tracks/20PNptwahrfnQkOLckB5ov,https://api.spotify.com/v1/audio-analysis/20PNptwahrfnQkOLckB5ov,223051,4,mona-ochan,Berdoa
0.71,0.815,9,-4.698,1,0.0323,0.0201,0.00000494,0.094,0.744,139.945,audio_features,31Y01vbFkUUwMvvfVGCHB2,spotify:track:31Y01vbFkUUwMvvfVGCHB2,https://api.spotify.com/v1/tracks/31Y01vbFkUUwMvvfVGCHB2,https://api.spotify.com/v1/audio-analysis/31Y01vbFkUUwMvvfVGCHB2,234986,4,mona-ochan,Bletang Blentong
0.578,0.897,5,-4.574,0,0.0315,0.155,0.0323,0.102,0.84,134.995,audio_features,220na67kGnkXbyI0vDxZX6,spotify:track:220na67kGnkXbyI0vDxZX6,https://api.spotify.com/v1/tracks/220na67kGnkXbyI0vDxZX6,https://api.spotify.com/v1/audio-analysis/220na67kGnkXbyI0vDxZX6,320621,4,mona-ochan,Lungset
0.599,0.938,7,-5.509,0,0.0365,0.203,0.00258,0.436,0.952,154.024,audio_features,2QiZ8lPuXMEPXppV8kzc3p,spotify:track:2QiZ8lPuXMEPXppV8kzc3p,https://api.spotify.com/v1/tracks/2QiZ8lPuXMEPXppV8kzc3p,https://api.spotify.com/v1/audio-analysis/2QiZ8lPuXMEPXppV8kzc3p,263012,4,mona-ochan,Om Macapah Om
0.501,0.889,4,-5.68,0,0.0352,0.128,0.111,0.412,0.781,175.006,audio_features,3rxs56o94AKXpzJc9jVLZ9,spotify:track:3rxs56o94AKXpzJc9jVLZ9,https://api.spotify.com/v1/tracks/3rxs56o94AKXpzJc9jVLZ9,https://api.spotify.com/v1/audio-analysis/3rxs56o94AKXpzJc9jVLZ9,338106,4,mona-ochan,Raja Ngibul
0.766,0.59,1,-6.545,1,0.0318,0.253,0.00119,0.108,0.765,139.964,audio_features,2Yba7euveU7RlD7QfwzHMe,spotify:track:2Yba7euveU7RlD7QfwzHMe,https://api.spotify.com/v1/tracks/2Yba7euveU7RlD7QfwzHMe,https://api.spotify.com/v1/audio-analysis/2Yba7euveU7RlD7QfwzHMe,433818,4,mona-ochan,Tabib Asmara
0.613,0.674,11,-2.792,0,0.0285,0.458,0,0.557,0.346,130.029,audio_features,1wlJrgbweQlO1xCD2TlfiY,spotify:track:1wlJrgbweQlO1xCD2TlfiY,https://api.spotify.com/v1/tracks/1wlJrgbweQlO1xCD2TlfiY,https://api.spotify.com/v1/audio-analysis/1wlJrgbweQlO1xCD2TlfiY,305273,4,mona-ochan,Ayah
0.786,0.714,8,-6.444,1,0.0337,0.395,0.00000534,0.0816,0.639,140,audio_features,52huClZVbdMKlZAnMcaOEE,spotify:track:52huClZVbdMKlZAnMcaOEE,https://api.spotify.com/v1/tracks/52huClZVbdMKlZAnMcaOEE,https://api.spotify.com/v1/audio-analysis/52huClZVbdMKlZAnMcaOEE,276085,4,mona-ochan,Ditinggal Rabi
0.495,0.661,4,-3.418,0,0.0292,0.385,0.00000227,0.582,0.24,144.848,audio_features,5E6hjmS4u3lRoa2x87svYd,spotify:track:5E6hjmS4u3lRoa2x87svYd,https://api.spotify.com/v1/tracks/5E6hjmS4u3lRoa2x87svYd,https://api.spotify.com/v1/audio-analysis/5E6hjmS4u3lRoa2x87svYd,273531,4,mona-ochan,Egois
0.739,0.8,2,-6.932,1,0.0332,0.481,0.000322,0.364,0.804,150.039,audio_features,1PnY5SEFM72n01FWxcDDMA,spotify:track:1PnY5SEFM72n01FWxcDDMA,https://api.spotify.com/v1/tracks/1PnY5SEFM72n01FWxcDDMA,https://api.spotify.com/v1/audio-analysis/1PnY5SEFM72n01FWxcDDMA,300745,4,mona-ochan,Bidadari Kesleo
0.757,0.762,6,-4.298,0,0.0357,0.459,0,0.137,0.487,140.021,audio_features,29cYZbk9ZMy9hSReaJes6x,spotify:track:29cYZbk9ZMy9hSReaJes6x,https://api.spotify.com/v1/tracks/29cYZbk9ZMy9hSReaJes6x,https://api.spotify.com/v1/audio-analysis/29cYZbk9ZMy9hSReaJes6x,291619,4,mona-ochan,Kelingan Mantan
0.512,0.762,4,-4.084,0,0.0487,0.216,0.0000322,0.472,0.67,180.079,audio_features,19idRh7r6j2KwgZHvhi8B4,spotify:track:19idRh7r6j2KwgZHvhi8B4,https://api.spotify.com/v1/tracks/19idRh7r6j2KwgZHvhi8B4,https://api.spotify.com/v1/audio-analysis/19idRh7r6j2KwgZHvhi8B4,324151,4,mona-ochan,Kesenggol Rondo
0.775,0.702,7,-5.593,1,0.0403,0.237,0.0000574,0.0968,0.452,145.006,audio_features,440YwlJW3GYscM2SAF1fKw,spotify:track:440YwlJW3GYscM2SAF1fKw,https://api.spotify.com/v1/tracks/440YwlJW3GYscM2SAF1fKw,https://api.spotify.com/v1/audio-analysis/440YwlJW3GYscM2SAF1fKw,272579,4,mona-ochan,Pawang Cinta
0.723,0.754,2,-6.91,1,0.0406,0.571,0.0000713,0.214,0.761,151.031,audio_features,0hL3ygY5EW379JHJPV4bBC,spotify:track:0hL3ygY5EW379JHJPV4bBC,https://api.spotify.com/v1/tracks/0hL3ygY5EW379JHJPV4bBC,https://api.spotify.com/v1/audio-analysis/0hL3ygY5EW379JHJPV4bBC,230179,4,mona-ochan,Pikir Keri
0.673,0.658,0,-6.999,1,0.0254,0.697,0.118,0.0811,0.608,135.071,audio_features,5HmSXRzF4fLrzc7eTHpFRM,spotify:track:5HmSXRzF4fLrzc7eTHpFRM,https://api.spotify.com/v1/tracks/5HmSXRzF4fLrzc7eTHpFRM,https://api.spotify.com/v1/audio-analysis/5HmSXRzF4fLrzc7eTHpFRM,252610,4,mona-ochan,Aduh Gusti
0.627,0.649,1,-5.524,0,0.0254,0.481,0.00102,0.0922,0.408,135.049,audio_features,58WiOG6Ji7sv7CxYefRrj6,spotify:track:58WiOG6Ji7sv7CxYefRrj6,https://api.spotify.com/v1/tracks/58WiOG6Ji7sv7CxYefRrj6,https://api.spotify.com/v1/audio-analysis/58WiOG6Ji7sv7CxYefRrj6,288949,4,mona-ochan,Biso Tanpo Riko
0.573,0.872,9,-6.066,0,0.0293,0.00287,0.000541,0.164,0.786,140.018,audio_features,35VSQyDIWGktr0EYGaq1iu,spotify:track:35VSQyDIWGktr0EYGaq1iu,https://api.spotify.com/v1/tracks/35VSQyDIWGktr0EYGaq1iu,https://api.spotify.com/v1/audio-analysis/35VSQyDIWGktr0EYGaq1iu,363913,4,mona-ochan,Niat Sholat Fardlu
0.502,0.881,4,-6.134,0,0.0354,0.126,0.133,0.392,0.794,175.046,audio_features,5DZjt0BpX7rOAqCQCli5VB,spotify:track:5DZjt0BpX7rOAqCQCli5VB,https://api.spotify.com/v1/tracks/5DZjt0BpX7rOAqCQCli5VB,https://api.spotify.com/v1/audio-analysis/5DZjt0BpX7rOAqCQCli5VB,338113,4,mona-ochan,Raja Ngibul House Version
0.666,0.646,0,-7.433,1,0.0255,0.673,0.223,0.116,0.623,135.068,audio_features,1bE0q1fDw6tqLCCTCjcdfa,spotify:track:1bE0q1fDw6tqLCCTCjcdfa,https://api.spotify.com/v1/tracks/1bE0q1fDw6tqLCCTCjcdfa,https://api.spotify.com/v1/audio-analysis/1bE0q1fDw6tqLCCTCjcdfa,252625,4,mona-ochan,Aduh Gusti
0.697,0.588,11,-5.851,1,0.0293,0.414,0.00199,0.244,0.731,130.048,audio_features,7GGUIOZM8h1510RdGljih7,spotify:track:7GGUIOZM8h1510RdGljih7,https://api.spotify.com/v1/tracks/7GGUIOZM8h1510RdGljih7,https://api.spotify.com/v1/audio-analysis/7GGUIOZM8h1510RdGljih7,325177,4,mona-ochan,Kasunyatan Tresno
0.732,0.685,0,-6.57,0,0.0285,0.628,0.0000298,0.309,0.752,134.983,audio_features,0sonxeQTj3mrvlD6oRAJ3w,spotify:track:0sonxeQTj3mrvlD6oRAJ3w,https://api.spotify.com/v1/tracks/0sonxeQTj3mrvlD6oRAJ3w,https://api.spotify.com/v1/audio-analysis/0sonxeQTj3mrvlD6oRAJ3w,281257,4,mona-ochan,Ojo Nguber Welase
0.747,0.657,4,-7.267,0,0.0318,0.575,0.141,0.132,0.779,125.04,audio_features,2SKNWQKhPNhTpLk9znSR62,spotify:track:2SKNWQKhPNhTpLk9znSR62,https://api.spotify.com/v1/tracks/2SKNWQKhPNhTpLk9znSR62,https://api.spotify.com/v1/audio-analysis/2SKNWQKhPNhTpLk9znSR62,263713,4,mona-ochan,Titip Welas
0.688,0.731,9,-5.951,0,0.0303,0.379,0.0422,0.13,0.946,135.008,audio_features,4krsrrIJzMO5RQSlLqD87e,spotify:track:4krsrrIJzMO5RQSlLqD87e,https://api.spotify.com/v1/tracks/4krsrrIJzMO5RQSlLqD87e,https://api.spotify.com/v1/audio-analysis/4krsrrIJzMO5RQSlLqD87e,300865,4,mona-ochan,Isyarat Cinta
