"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.642,0.77,11,-3.131,0,0.0259,0.335,0,0.191,0.557,129.94,audio_features,5FgxGR33I5LP2U3SKtMRpE,spotify:track:5FgxGR33I5LP2U3SKtMRpE,https://api.spotify.com/v1/tracks/5FgxGR33I5LP2U3SKtMRpE,https://api.spotify.com/v1/audio-analysis/5FgxGR33I5LP2U3SKtMRpE,275670,4
0.603,0.808,2,-2.457,1,0.0289,0.431,0,0.179,0.533,135.022,audio_features,0JpgLZSysxprv6uyNUXuAQ,spotify:track:0JpgLZSysxprv6uyNUXuAQ,https://api.spotify.com/v1/tracks/0JpgLZSysxprv6uyNUXuAQ,https://api.spotify.com/v1/audio-analysis/0JpgLZSysxprv6uyNUXuAQ,344499,4
0.618,0.787,2,-2.841,0,0.027,0.244,0,0.107,0.43,130.023,audio_features,2TH9YuukZjBcxrCpeU1XOQ,spotify:track:2TH9YuukZjBcxrCpeU1XOQ,https://api.spotify.com/v1/tracks/2TH9YuukZjBcxrCpeU1XOQ,https://api.spotify.com/v1/audio-analysis/2TH9YuukZjBcxrCpeU1XOQ,372752,4
0.573,0.782,1,-2.963,0,0.0286,0.43,0,0.0995,0.42,144.771,audio_features,2dPfYl9zSn0cJmTeRThyTl,spotify:track:2dPfYl9zSn0cJmTeRThyTl,https://api.spotify.com/v1/tracks/2dPfYl9zSn0cJmTeRThyTl,https://api.spotify.com/v1/audio-analysis/2dPfYl9zSn0cJmTeRThyTl,301474,4
0.584,0.785,9,-3.154,0,0.0265,0.298,0.00000217,0.096,0.633,149.917,audio_features,4Uoyzrr1mvJLObULFP4ohu,spotify:track:4Uoyzrr1mvJLObULFP4ohu,https://api.spotify.com/v1/tracks/4Uoyzrr1mvJLObULFP4ohu,https://api.spotify.com/v1/audio-analysis/4Uoyzrr1mvJLObULFP4ohu,373309,4
0.644,0.814,4,-2.36,1,0.0336,0.174,0,0.0901,0.538,145.005,audio_features,3FISLmsVmhTExY8ZYWQnkR,spotify:track:3FISLmsVmhTExY8ZYWQnkR,https://api.spotify.com/v1/tracks/3FISLmsVmhTExY8ZYWQnkR,https://api.spotify.com/v1/audio-analysis/3FISLmsVmhTExY8ZYWQnkR,286945,4
0.596,0.832,11,-2.623,1,0.0287,0.314,0,0.356,0.552,92.46,audio_features,3ZQVwSXqbQQu71e18niRCs,spotify:track:3ZQVwSXqbQQu71e18niRCs,https://api.spotify.com/v1/tracks/3ZQVwSXqbQQu71e18niRCs,https://api.spotify.com/v1/audio-analysis/3ZQVwSXqbQQu71e18niRCs,363305,4
0.63,0.703,7,-3.217,1,0.0253,0.191,0,0.16,0.439,130.005,audio_features,0WdahQlACz8wf8vdSPvwwp,spotify:track:0WdahQlACz8wf8vdSPvwwp,https://api.spotify.com/v1/tracks/0WdahQlACz8wf8vdSPvwwp,https://api.spotify.com/v1/audio-analysis/0WdahQlACz8wf8vdSPvwwp,359580,4
0.669,0.772,2,-2.98,0,0.0255,0.523,0.00000529,0.15,0.637,129.988,audio_features,1kLY2ezCYQClOduxsORbjo,spotify:track:1kLY2ezCYQClOduxsORbjo,https://api.spotify.com/v1/tracks/1kLY2ezCYQClOduxsORbjo,https://api.spotify.com/v1/audio-analysis/1kLY2ezCYQClOduxsORbjo,355384,4
0.702,0.797,6,-3.624,1,0.026,0.283,0,0.263,0.577,130.037,audio_features,0pjjublBCt9k1BffxEcxh3,spotify:track:0pjjublBCt9k1BffxEcxh3,https://api.spotify.com/v1/tracks/0pjjublBCt9k1BffxEcxh3,https://api.spotify.com/v1/audio-analysis/0pjjublBCt9k1BffxEcxh3,348000,4
0.673,0.698,7,-4.044,1,0.0262,0.471,0,0.108,0.559,130.04,audio_features,2XEk6T4iKRkxAqBcx1aenR,spotify:track:2XEk6T4iKRkxAqBcx1aenR,https://api.spotify.com/v1/tracks/2XEk6T4iKRkxAqBcx1aenR,https://api.spotify.com/v1/audio-analysis/2XEk6T4iKRkxAqBcx1aenR,261851,4
0.643,0.689,9,-4.52,1,0.0256,0.37,0,0.0844,0.516,130.021,audio_features,4NBshdRXVp10X4UaQgykQZ,spotify:track:4NBshdRXVp10X4UaQgykQZ,https://api.spotify.com/v1/tracks/4NBshdRXVp10X4UaQgykQZ,https://api.spotify.com/v1/audio-analysis/4NBshdRXVp10X4UaQgykQZ,385228,4
0.689,0.73,4,-3.589,1,0.0336,0.375,0,0.0911,0.802,140.106,audio_features,79WKF249Fba1pDOQ1p79DD,spotify:track:79WKF249Fba1pDOQ1p79DD,https://api.spotify.com/v1/tracks/79WKF249Fba1pDOQ1p79DD,https://api.spotify.com/v1/audio-analysis/79WKF249Fba1pDOQ1p79DD,273032,4
